Subject,F1,AUC
s01,0.8928198508318991,0.9604548469894354
s05,0.742303849998254,0.9025939567588238
s09,0.9059779825908858,0.962789163961039
s13,0.7453067765567767,0.8195249044433828
s22,0.8401641417548025,0.9516396056621527
s31,0.9476578992906636,0.9545627795094186
s35,0.8204760171395289,0.9110199178185819
s40,0.9724559535695609,0.9773620735607675
s41,0.8924494943341951,0.9533551191863662
s42,0.9171360575324243,0.9358417004122118
s43,0.8550883730509617,0.9322306455495093
s44,0.8637246863306186,0.9390242066241581
s45,0.9109318078324226,0.9577767185925025
s49,0.8412534236174576,0.961039590017136
s50,0.8311149691358025,0.9251547759433962
s53,0.8064902312599681,0.8981857427384267
